"-बिजिलाकिषोरः,","-बिजिलाकिषोर ः,"
कानिचन,कानिचन
भा,भा
जा,जा
दलभिन्न,दलभिन्न
शासकराज्याणि,शास कराज्या णि
एतस्मिन्,एतस्मिन्
करे,करे
ऊनतामानेतुं,ऊन तामानेतुं
नैव,नैव
सन्नद्धानि।,सन् न द् धानि ।
-,-
रम्या,रम्या
पी,पी
यू।,यू।
",",","
लण्डन्-,लण्डन्-
अस्य,अस्य
वर्षस्य,वर्षस्य
मान्,मान्
बुक्कर्,बुक्कर्
पुरस्कारः,पुरस्कारः
उत्तर,उत्तर
अयर्लण्डस्थायै,अय र् लण्ड स्थायै
लेखिकायै,लेखिकायै
अन्ना,अन्ना
बेण्स्,बेण्स्
कृते।,कृते।
"""मिल्क्","""मिल्क्"
"मान्""(क्षीरविक्रेता)","मान् ""(क् षीर वि क्रेता )"
इति,इति
परीक्षणात्मकधारावाहिन्यै,परीक्षणात्मकधारा वाहि न्यै
पुरस्कारः,पुरस्कारः
प्राप्तः।,प्राप्तः।
बुक्कर्,बुक्कर्
पुरस्कारेण,पुरस्कारे ण
आद्रियमाणा,आद्रियमाणा
प्रप्रथमा,प्रप्रथमा
ऐरिष्,ऐरिष्
लेखिका,लेखिका
भवति,भवति
अन्ना।,अन्ना।
लण्डने,लण्डने
गैड्शालायाम्,गैड् शा ला याम्
प्रवृत्ते,प्रवृत्ते
कार्यक्रमे,कार्य क्रमे
ब्रिटिशकिरीटाधिकारिणः,ब्रिटिशकिरीटा धि कारिणः
चाल्सस्य,चाल्सस्य
भार्या,भार्या
कामिला,कामिला
पारकरः,पारकरः
अन्नायै,अन्नायै
पुरस्कारं,पुरस्कारं
समर्पितवती।,समर्पितव ती ।
पञ्चाशत्,पञ्चाशत्
सहस्रम्(५००००),सहस्रम् (५००००)
ब्रिटिशपौण्ड्,ब्रिटि शपौण्ड्
एव,एव
पुरस्कारधनम्।,पुरस्कारधनम् ।
ब्रिटणतः,ब्रिटणतः
अमरीकातः,अमरीकातः
च,च
द्वौ,द्वौ
लेखकौ,लेखकौ
कानडातः,कानडातः
एकश्च,एकश्च
अन्नया,अन्नया
सह,सह
पुरस्काराय,पुरस्काराय
अन्तिमपट्टिकायाम्,अन्ति म पट्टिका याम्
आसन्।,आसन्।
बेल्फास्ट्,बेल् फास्ट्
स्वदेशिन्याः,स्वदेशि न् याः
अन्नायाः,अन्नायाः
तृतीया,तृतीया
धारावाहिनी,धारा वाहि नी
